service_id,date,exception_type
34,20231205,1
34,20231206,1
34,20231207,1
34,20231211,1
34,20231212,1
34,20231213,1
34,20231214,1
35,20231208,1
35,20231215,1
36,20231209,1
36,20231216,1
51,20231218,1
51,20231219,1
51,20231220,1
51,20231221,1
52,20231222,1
53,20231223,1
54,20231224,1
55,20231226,1
55,20231227,1
55,20231228,1
56,20231229,1
57,20231230,1
58,20231225,1
59,20231209,1
59,20231216,1
59,20231223,1
59,20231230,1
60,20231210,1
60,20231217,1
60,20231224,1
60,20231225,1
61,20231205,1
61,20231206,1
61,20231207,1
61,20231211,1
61,20231212,1
61,20231213,1
61,20231214,1
61,20231218,1
61,20231219,1
61,20231220,1
61,20231221,1
61,20231226,1
61,20231227,1
61,20231228,1
62,20231208,1
62,20231215,1
62,20231222,1
62,20231229,1
63,20231210,1
63,20231217,1
64,20231218,1
64,20231219,1
64,20231220,1
64,20231221,1
64,20231226,1
64,20231227,1
64,20231228,1
