route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
RED,45,5570301_19778,"GLENMONT",0,,1,5570301,124
RED,45,5570284_19778,"GLENMONT",0,,1,5570284,125
RED,45,5570314_19778,"GLENMONT",0,,1,5570314,126
RED,45,5570324_19778,"GLENMONT",0,,1,5570324,127
RED,45,5570310_19778,"GLENMONT",0,,1,5570310,101
RED,45,5570311_19778,"GLENMONT",0,,1,5570311,102
RED,45,5570337_19778,"GLENMONT",0,,1,5570337,103
RED,45,5570322_19778,"GLENMONT",0,,1,5570322,104
RED,45,5570305_19778,"GLENMONT",0,,1,5570305,105
RED,45,5570333_19778,"GLENMONT",0,,1,5570333,106
RED,45,5570332_19778,"GLENMONT",0,,1,5570332,107
RED,45,5570327_19778,"GLENMONT",0,,1,5570327,108
RED,45,5570317_19778,"GLENMONT",0,,1,5570317,109
RED,45,5570313_19778,"GLENMONT",0,,1,5570313,110
RED,45,5570306_19778,"GLENMONT",0,,1,5570306,111
RED,45,5570325_19778,"GLENMONT",0,,1,5570325,113
RED,45,5570335_19778,"GLENMONT",0,,1,5570335,114
RED,45,5570345_19778,"GLENMONT",0,,1,5570345,115
RED,45,5570376_19778,"GLENMONT",0,,1,5570376,116
RED,45,5570348_19778,"GLENMONT",0,,1,5570348,117
RED,45,5570362_19778,"GLENMONT",0,,1,5570362,118
RED,45,5570366_19778,"GLENMONT",0,,1,5570366,119
RED,45,5570352_19778,"GLENMONT",0,,1,5570352,120
RED,45,5570349_19778,"GLENMONT",0,,1,5570349,121
RED,45,5570370_19778,"GLENMONT",0,,1,5570370,122
RED,45,5570378_19778,"GLENMONT",0,,1,5570378,123
RED,45,5570375_19778,"GLENMONT",0,,1,5570375,124
RED,45,5570340_19778,"GLENMONT",0,,1,5570340,125
RED,45,5570369_19778,"GLENMONT",0,,1,5570369,126
RED,45,5570372_19778,"GLENMONT",0,,1,5570372,127
RED,45,5570344_19778,"GLENMONT",0,,1,5570344,101
