service_id,date,exception_type
2,20231230,1
2,20240106,1
2,20240113,1
2,20240120,1
2,20240127,1
2,20240203,1
2,20240210,1
2,20240217,1
2,20240224,1
2,20240302,1
2,20240309,1
2,20240316,1
2,20240323,1
46,20231227,1
46,20231228,1
47,20231229,1
48,20231230,1
60,20240101,1
60,20240107,1
60,20240114,1
60,20240121,1
60,20240128,1
60,20240204,1
60,20240211,1
60,20240218,1
60,20240225,1
60,20240303,1
60,20240310,1
60,20240317,1
61,20231231,1
62,20240102,1
62,20240103,1
62,20240104,1
62,20240108,1
62,20240109,1
62,20240110,1
62,20240111,1
62,20240115,1
62,20240116,1
62,20240117,1
62,20240118,1
62,20240122,1
62,20240123,1
62,20240124,1
62,20240125,1
62,20240129,1
62,20240130,1
62,20240131,1
62,20240201,1
62,20240205,1
62,20240206,1
62,20240207,1
62,20240208,1
62,20240212,1
62,20240213,1
62,20240214,1
62,20240215,1
62,20240219,1
62,20240220,1
62,20240221,1
62,20240222,1
62,20240226,1
62,20240227,1
62,20240228,1
62,20240229,1
62,20240304,1
62,20240305,1
62,20240306,1
62,20240307,1
62,20240311,1
62,20240312,1
62,20240313,1
62,20240314,1
62,20240318,1
62,20240319,1
62,20240320,1
62,20240321,1
63,20240105,1
63,20240112,1
63,20240119,1
63,20240126,1
63,20240202,1
63,20240209,1
63,20240216,1
63,20240223,1
63,20240301,1
63,20240308,1
63,20240315,1
63,20240322,1
