trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
5570301_19778,07:41:00,07:41:00,PF_B02_1,17,0,0,18.9530
5570284_19778,07:47:00,07:47:00,PF_B02_1,17,0,0,18.9530
5570314_19778,07:53:00,07:53:00,PF_B02_1,17,0,0,18.9530
5570324_19778,07:59:00,07:59:00,PF_B02_1,17,0,0,18.9530
5570310_19778,08:05:00,08:05:00,PF_B02_1,17,0,0,18.9530
5570311_19778,08:11:00,08:11:00,PF_B02_1,17,0,0,18.9530
5570337_19778,08:17:00,08:17:00,PF_B02_1,17,0,0,18.9530
5570322_19778,08:23:00,08:23:00,PF_B02_1,17,0,0,18.9530
5570305_19778,08:29:00,08:29:00,PF_B02_1,17,0,0,18.9530
5570333_19778,08:35:00,08:35:00,PF_B02_1,17,0,0,18.9530
5570332_19778,08:41:00,08:41:00,PF_B02_1,17,0,0,18.9530
5570327_19778,08:47:00,08:47:00,PF_B02_1,17,0,0,18.9530
5570317_19778,08:53:00,08:53:00,PF_B02_1,17,0,0,18.9530
5570313_19778,08:59:00,08:59:00,PF_B02_1,17,0,0,18.9530
5570306_19778,09:05:00,09:05:00,PF_B02_1,17,0,0,18.9530
5570325_19778,09:11:00,09:11:00,PF_B02_1,17,0,0,18.9530
5570335_19778,09:17:00,09:17:00,PF_B02_1,17,0,0,18.9530
5570345_19778,09:23:00,09:23:00,PF_B02_1,17,0,0,18.9530
5570376_19778,09:29:00,09:29:00,PF_B02_1,17,0,0,18.9530
5570348_19778,09:35:00,09:35:00,PF_B02_1,17,0,0,18.9530
5570362_19778,09:41:00,09:41:00,PF_B02_1,17,0,0,18.9530
5570366_19778,09:47:00,09:47:00,PF_B02_1,17,0,0,18.9530
5570352_19778,09:53:00,09:53:00,PF_B02_1,17,0,0,18.9530
5570349_19778,09:59:00,09:59:00,PF_B02_1,17,0,0,18.9530
5570370_19778,10:05:00,10:05:00,PF_B02_1,17,0,0,18.9530
5570378_19778,10:11:00,10:11:00,PF_B02_1,17,0,0,18.9530
5570375_19778,10:17:00,10:17:00,PF_B02_1,17,0,0,18.9530
5570340_19778,10:23:00,10:23:00,PF_B02_1,17,0,0,18.9530
5570369_19778,10:29:00,10:29:00,PF_B02_1,17,0,0,18.9530
5570372_19778,10:35:00,10:35:00,PF_B02_1,17,0,0,18.9530
5570344_19778,10:41:00,10:41:00,PF_B02_1,17,0,0,18.9530
5570353_19778,10:47:00,10:47:00,PF_B02_1,17,0,0,18.9530
5570371_19778,10:53:00,10:53:00,PF_B02_1,17,0,0,18.9530
5570350_19778,10:59:00,10:59:00,PF_B02_1,17,0,0,18.9530
5570381_19778,11:05:00,11:05:00,PF_B02_1,17,0,0,18.9530
5570395_19778,11:11:00,11:11:00,PF_B02_1,17,0,0,18.9530
5570388_19778,11:17:00,11:17:00,PF_B02_1,17,0,0,18.9530
5570391_19778,11:23:00,11:23:00,PF_B02_1,17,0,0,18.9530
5570393_19778,11:29:00,11:29:00,PF_B02_1,17,0,0,18.9530
5570394_19778,11:35:00,11:35:00,PF_B02_1,17,0,0,18.9530
5570389_19778,11:41:00,11:41:00,PF_B02_1,17,0,0,18.9530
5570380_19778,11:47:00,11:47:00,PF_B02_1,17,0,0,18.9530
5570414_19778,11:53:00,11:53:00,PF_B02_1,17,0,0,18.9530
5570412_19778,11:59:00,11:59:00,PF_B02_1,17,0,0,18.9530
5570424_19778,12:05:00,12:05:00,PF_B02_1,17,0,0,18.9530
5570406_19778,12:11:00,12:11:00,PF_B02_1,17,0,0,18.9530
5570432_19778,12:17:00,12:17:00,PF_B02_1,17,0,0,18.9530
5570402_19778,12:23:00,12:23:00,PF_B02_1,17,0,0,18.9530
5570422_19778,12:29:00,12:29:00,PF_B02_1,17,0,0,18.9530
5570434_19778,12:35:00,12:35:00,PF_B02_1,17,0,0,18.9530
5570436_19778,12:41:00,12:41:00,PF_B02_1,17,0,0,18.9530
5570416_19778,12:47:00,12:47:00,PF_B02_1,17,0,0,18.9530
5570423_19778,12:53:00,12:53:00,PF_B02_1,17,0,0,18.9530
5570411_19778,12:59:00,12:59:00,PF_B02_1,17,0,0,18.9530
5570399_19778,13:05:00,13:05:00,PF_B02_1,17,0,0,18.9530
5570430_19778,13:11:00,13:11:00,PF_B02_1,17,0,0,18.9530
5570425_19778,13:17:00,13:17:00,PF_B02_1,17,0,0,18.9530
5570409_19778,13:23:00,13:23:00,PF_B02_1,17,0,0,18.9530
5570427_19778,13:29:00,13:29:00,PF_B02_1,17,0,0,18.9530
5570410_19778,13:35:00,13:35:00,PF_B02_1,17,0,0,18.9530
5570426_19778,13:41:00,13:41:00,PF_B02_1,17,0,0,18.9530
5570401_19778,13:47:00,13:47:00,PF_B02_1,17,0,0,18.9530
5570446_19778,13:53:00,13:53:00,PF_B02_1,17,0,0,18.9530
5570444_19778,13:59:00,13:59:00,PF_B02_1,17,0,0,18.9530
5570448_19778,14:05:00,14:05:00,PF_B02_1,17,0,0,18.9530
5570452_19778,14:11:00,14:11:00,PF_B02_1,17,0,0,18.9530
5570451_19778,14:17:00,14:17:00,PF_B02_1,17,0,0,18.9530
5570439_19778,14:23:00,14:23:00,PF_B02_1,17,0,0,18.9530
5570447_19778,14:29:00,14:29:00,PF_B02_1,17,0,0,18.9530
